,created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet,FechaFormato
0,Wed Feb 24 13:30:27 +0000 2021,Milton Rolando Rodríguez Farah,"RT @CesarMongeO: #ElEcuadorDelEncuentro
#LassoPresidente2021",,14,rt @cesarmongeo #elecuadordelencuentro #lassopresidente2021,rt  cesarmongeo  elecuadordelencuentro  lassopresidente2021,Feb-24
1,Wed Feb 24 13:01:48 +0000 2021,Angeles 🤓 Mode #DiosNosProteja,"Toda Latinoamerica esta contaminada de socialismo21 y otras corrrientes violentas.

Es hora de salir a las calles y… https://t.co/4k2kvlqlnO",,0,toda latinoamerica contaminada socialismo21 corrrientes violentas hora salir calles y…,toda latinoamerica contaminada socialismo21 corrrientes violentas hora salir calles y ,Feb-24
2,Wed Feb 24 12:43:25 +0000 2021,Fernando Gavilanes,"@LassoGuillermo es el único que puede unir al país, por su calidad humana y liderazgo. El diálogo se amplía con cap… https://t.co/kP6hQEBRp2",,0,"@lassoguillermo único puede unir país, calidad humana liderazgo diálogo amplía cap…", lassoguillermo único puede unir país  calidad humana liderazgo diálogo amplía cap ,Feb-24
3,Wed Feb 24 12:40:01 +0000 2021,Marifer,"RT @guido_chiriboga: Hoy revisamos el plan de campaña de #LassoPresidente2021* en Milagro. 
Nos reunimos el Presidente Provincial del Guaya…",,2,rt @guido_chiriboga hoy revisamos plan campaña #lassopresidente2021* milagro reunimos presidente provincial guaya…,rt  guido chiriboga hoy revisamos plan campaña  lassopresidente2021  milagro reunimos presidente provincial guaya ,Feb-24
4,Wed Feb 24 12:31:46 +0000 2021,Alegria Sols 🇪🇨,"#LassoPresidente2021
#LassoPresidente2021
#LassoPresidente2021
#LassoPresidente2021
#LassoPresidente2021… https://t.co/JVc1HbybOh",,0,#lassopresidente2021 #lassopresidente2021 #lassopresidente2021 #lassopresidente2021 #lassopresidente2021…, lassopresidente2021  lassopresidente2021  lassopresidente2021  lassopresidente2021  lassopresidente2021 ,Feb-24
5,Wed Feb 24 12:31:33 +0000 2021,Milena Dobronic,"RT @diegoordonezg: Así arranca la campaña de segunda vuelta.  A trabajar duro para lograr el cambio. Vamos a darlo todo por el Ecuador! 

#…",,273,rt @diegoordonezg así arranca campaña segunda vuelta trabajar duro lograr cambio vamos darlo ecuador #…,rt  diegoordonezg así arranca campaña segunda vuelta trabajar duro lograr cambio vamos darlo ecuador   ,Feb-24
6,Wed Feb 24 12:07:36 +0000 2021,Steven MMAADICT,"@ABorreroVega @Horadelaverdad Excelente, todos a por la unidad nacional! 
#LassoPresidente2021",,0,"@aborrerovega @horadelaverdad excelente, unidad nacional #lassopresidente2021", aborrerovega  horadelaverdad excelente  unidad nacional  lassopresidente2021,Feb-24
7,Wed Feb 24 11:20:44 +0000 2021,Alegria Sols 🇪🇨,RT @cchavezbowen: Tu voto va a decidir x el Presidente q dirija Plan de #Salud y si cae en manos corruptas este país va a ver morir muchas…,,8,rt @cchavezbowen voto va decidir x presidente q dirija plan #salud si cae manos corruptas país va ver morir muchas…,rt  cchavezbowen voto va decidir x presidente q dirija plan  salud si cae manos corruptas país va ver morir muchas ,Feb-24
8,Wed Feb 24 10:45:26 +0000 2021,Steven MMAADICT,@rabascallcarlos @ecuarauz @UNESJOVENES @ManabiUnes @NucleoLosRios @CotopaxiUnes @UnesCanar @UnesStoDomingo… https://t.co/WYj2OhDuA5,,0,@rabascallcarlos @ecuarauz @unesjovenes @manabiunes @nucleolosrios @cotopaxiunes @unescanar @unesstodomingo…, rabascallcarlos  ecuarauz  unesjovenes  manabiunes  nucleolosrios  cotopaxiunes  unescanar  unesstodomingo ,Feb-24
9,Wed Feb 24 06:52:32 +0000 2021,Stef Rincon,@rikrdo_alfredo @LassoGuillermo Lasso es cambio #LassoPresidente2021,,0,@rikrdo_alfredo @lassoguillermo lasso cambio #lassopresidente2021, rikrdo alfredo  lassoguillermo lasso cambio  lassopresidente2021,Feb-24
