created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet
Wed Feb 24 13:32:40 +0000 2021,NoticieroEcuadoradio,#YakuPérez dio a conocer que contaban con cerca de 16 000 #actas con #inconsistencias de las elecciones generales d… https://t.co/WjfglrJYtK,,0,#yakupérez dio conocer contaban cerca 16 000 #actas #inconsistencias elecciones generales d…, yakupérez dio conocer contaban cerca 16 000  actas  inconsistencias elecciones generales d 
Wed Feb 24 13:32:25 +0000 2021,Radio Quito,#YakuPérez dio a conocer que contaban con cerca de 16 000 #actas con #inconsistencias de las elecciones generales d… https://t.co/5hXOqz63Cr,,0,#yakupérez dio conocer contaban cerca 16 000 #actas #inconsistencias elecciones generales d…, yakupérez dio conocer contaban cerca 16 000  actas  inconsistencias elecciones generales d 
Wed Feb 24 13:32:24 +0000 2021,Patricio Estrella,"RT @ErmelRosario: 🆘️YAKU PÉREZ, POR SU MALDAD NI PRESIDENCIA DE LA CONAIE, NI PRESIDENCIA DEL ECUADOR🆘️🆘️
#NiUnVotoALaDerecha 
Indígena fal…",,7,"rt @ermelrosario 🆘️yaku pérez, maldad presidencia conaie, presidencia ecuador🆘️🆘️ #niunvotoaladerecha indígena fal…",rt  ermelrosario   yaku pérez  maldad presidencia conaie  presidencia ecuador      niunvotoaladerecha indígena fal 
Wed Feb 24 13:25:20 +0000 2021,tom dieusaert,#yakuperez #Ecuador geeft het nog niet op. Volgens de indianenleider was er fraude bij de presidentsverkiezingen. https://t.co/V163Ilftke,,0,#yakuperez #ecuador geeft het nog niet op volgens indianenleider was er fraude bij presidentsverkiezingen, yakuperez  ecuador geeft het nog niet op volgens indianenleider was er fraude bij presidentsverkiezingen
Wed Feb 24 12:03:02 +0000 2021,Rosa Rodríguez,"RT @ecuadorenvivo: #AHORA: #YakuPérez, representante de #Pachakutik en las elecciones, se dirige por la calle Juan León Mera, rumbo al CNE…",,25,"rt @ecuadorenvivo #ahora #yakupérez, representante #pachakutik elecciones, dirige calle juan león mera, rumbo cne…",rt  ecuadorenvivo  ahora  yakupérez  representante  pachakutik elecciones  dirige calle juan león mera  rumbo cne 
Wed Feb 24 11:29:30 +0000 2021,Gustavo Hernandez,"RT @revistavistazo: ""Al siguiente día el candidato de CREO rompe el acuerdo y deja mal herido el sistema democrático y vulnera la voluntad…",,18,"rt @revistavistazo ""al siguiente día candidato creo rompe acuerdo deja mal herido sistema democrático vulnera voluntad…",rt  revistavistazo  al siguiente día candidato creo rompe acuerdo deja mal herido sistema democrático vulnera voluntad 
Wed Feb 24 10:53:57 +0000 2021,Ermel Rosario,"🆘️YAKU PÉREZ, POR SU MALDAD NI PRESIDENCIA DE LA CONAIE, NI PRESIDENCIA DEL ECUADOR🆘️🆘️
#NiUnVotoALaDerecha 
Indíge… https://t.co/1EqvI23KXw",,7,"🆘️yaku pérez, maldad presidencia conaie, presidencia ecuador🆘️🆘️ #niunvotoaladerecha indíge…",  yaku pérez  maldad presidencia conaie  presidencia ecuador      niunvotoaladerecha indíge 
Wed Feb 24 10:29:44 +0000 2021,personas con discapacidad Unidas en el mundo,@p_chvez @ecuabot @20m @Lenin @LassoGuillermo @jaimenebotsaadi @yakuperezg @abdalabucaran No fue #YakuPérez quien h… https://t.co/E3CXhnPWoI,,0,@p_chvez @ecuabot @20m @lenin @lassoguillermo @jaimenebotsaadi @yakuperezg @abdalabucaran #yakupérez h…, p chvez  ecuabot  20m  lenin  lassoguillermo  jaimenebotsaadi  yakuperezg  abdalabucaran  yakupérez h 
Wed Feb 24 09:28:45 +0000 2021,Rafael Medina,RT @ecuadorenvivo: #YakuPérez entrega 16 mil actas con presuntas inconsistencias https://t.co/a48Juu3jMp https://t.co/udgiqGPgCk,,4,rt @ecuadorenvivo #yakupérez entrega 16 mil actas presuntas inconsistencias,rt  ecuadorenvivo  yakupérez entrega 16 mil actas presuntas inconsistencias
Wed Feb 24 09:19:05 +0000 2021,Verdeesperanza,"RT @EstebanVillama9: #YakuPerez sabe bien, y probablemente ya lo sabia desde un principio, que no pasó a la segunda vuelta y por eso se ha…",,22,"rt @estebanvillama9 #yakuperez sabe bien, probablemente sabia principio, pasó segunda vuelta ha…",rt  estebanvillama9  yakuperez sabe bien  probablemente sabia principio  pasó segunda vuelta ha 
